ROG (A),CV (J/K),TAUS (fs)
12.98396935,0.44000356,52370.836
13.02176793,0.445568618,51658.885
12.53321707,0.499596242,44378.187
12.54312003,0.465866182,43105.724
14.3708768,0.460190636,74676.084
12.37278223,0.474353698,44076.21
12.3792423,0.592541432,42722.902
13.39355293,0.457943374,58840.576
11.98008305,0.522086503,35484.604
11.81608268,0.681216294,34372.692
13.20723665,0.45213467,54534.126
12.72631643,0.473792886,49679.368
12.10692281,0.483392644,35893.92
12.55675316,0.467395975,44107.394
12.53292504,0.508620316,43347.516
13.27106288,0.441309741,54188.464
12.00935177,0.713306119,34939.977
11.66126237,0.523994848,32224.123
12.27895761,0.470838166,40423.473
12.77560723,0.466450686,49118.716
12.57962122,0.547974381,48686.248
12.71810953,0.450301424,48441.363
12.22954742,0.615155482,40204.174
12.58136956,0.484258247,44545.403
12.74248916,0.465433615,46388.194
13.03431394,0.460618189,50323.262
12.55496754,0.478121478,47680.286
12.37542323,0.475549872,39376.499
12.43941759,0.487942973,44605.504
13.71286039,0.454537775,65380.511
12.58008426,0.486279112,45981.702
12.68890815,0.503090746,48608.935
12.47639331,0.556096781,45901.931
12.37122104,0.491705343,41869.386
12.41228504,0.48799025,42538.395
12.57266121,0.484100446,44989.687
11.89756866,0.612754894,37379.058
12.86755027,0.464366372,45171.871
11.89330106,0.499514476,35575.942
12.42954223,0.50105726,42118.716
12.36263241,0.48674269,40894.329
12.79089754,0.465474903,48479.272
12.60365503,0.582512982,45649.367
12.83590706,0.461267744,46556.52
12.65866146,0.48900379,45381.891
11.80633474,0.924581019,36191.09
13.23941577,0.485184365,53087.331
12.46956174,0.515123091,40704.015
13.21530628,0.53380284,52374.537
12.65876653,0.627513091,49308.732
12.59213842,0.487450941,38736.983
12.80614657,0.507250026,45918.618
13.47047475,0.51915532,60466.647
13.2679633,0.511495717,59406.157
13.22015393,0.492691308,50139.403
12.79059772,0.505125616,49666.35
12.35217673,0.500218628,38962.958
13.67790773,0.466485617,57842.534
12.43403635,0.561304817,44075.876
12.7179452,0.521056689,45369.743
12.43864301,0.546465987,39313.656
12.85752931,0.517089329,47259.687
12.60023571,0.548544015,45779.883
13.40256281,0.458248137,54675.902
12.35078702,0.91684696,38277.961
13.35068275,0.509104935,53987.893
12.75758755,0.515115301,44913.086
12.58087875,0.569942101,41369.864
12.46197697,0.563300248,42641.072
12.7036109,0.48844865,45024.972
12.40699238,0.606499727,42535.996
12.67786733,0.536969603,45397.035
12.69090147,0.49358339,47560.488
12.83738875,0.54477005,46632.099
12.32339888,0.61714416,42913.264
13.04048044,0.528700861,49974.726
13.09371872,0.503775052,50793.026
14.16820243,0.460531369,63511.365
14.30305352,0.483636783,79248.441
13.02217993,0.480346255,52063.215
12.88909384,0.533777086,50399.858
12.64983873,0.558439324,46435.08
12.40906685,0.682012584,38619.475
12.66441669,0.550499599,46976.253
13.22155097,0.493216971,52889.933
12.95930631,0.500729363,48457.059
12.65569832,0.498884579,44320.54
12.44687752,0.522629737,43229.863
12.46635592,0.532655777,43002.161
12.6449314,0.499492357,44115.221
13.12110018,0.508585228,53728.294
13.09382183,0.526113791,56429.428
13.19264151,0.523630764,54185.674
12.63849437,0.622277815,43602.876
13.35481861,0.506530426,52496.484
13.23927302,0.468625097,52331.963
13.38303702,0.52690061,56447.686
14.83347431,0.498201624,87739.253
15.02500416,0.499164611,81983.985
13.04185301,0.554401935,50652.561
13.20619892,0.645506651,55126.62
14.29609877,0.485497085,69779.822
13.62434953,0.493672759,64002.055
13.31525216,0.551791194,54498.34
14.12434034,0.516255364,68599.908
12.62936855,0.645442216,46222.397
13.31870977,0.537805927,55225.201
12.9156502,0.551018499,45494.132
12.9988488,0.588112005,46051.386
12.6091554,0.546292411,37691.259
13.58004529,0.536741502,60305.724
12.93272748,0.578618304,51401.419
12.82904907,0.54663019,47345.767
12.80232206,0.801784865,48693.313
13.42094632,0.577804851,56738.723
12.81335046,0.548984285,44091.934
12.86557344,0.612188881,49121.323
13.15307074,0.53616503,49971.056
12.87713866,0.531989354,42717.29
14.28300564,0.523739206,71854.848
13.40681207,0.584614472,57043.957
13.28425459,0.51277887,52419.053
13.17521537,0.532053871,52165.819
13.14486516,0.514139206,54223.669
12.66106947,0.598156416,46315.698
12.80983841,0.566674556,41711.218
12.63638121,0.542432198,42599.279
14.12474071,0.482974644,64374.902
12.99580048,0.515131464,45505.018
12.85924337,0.600952393,52738.193
13.45511576,0.529841524,58548.559
13.07349112,0.558023527,50650.699
12.78201862,0.65529963,49640.518
12.57175326,0.748967673,44710.997
13.0357098,0.546117662,48329.237
13.45117764,0.586263495,58497.63
12.33688453,0.511737289,33708.618
13.0281004,0.486496801,46756.94
12.59808239,0.642366373,46712.497
12.74863522,0.532296932,40196.367
12.87129325,0.887466435,48056.878
13.39842677,0.523756754,58320.475
13.32703193,0.553980821,58740.078
13.428208,0.571539652,56645.759
14.1692798,0.466075127,69446.283
13.11059152,0.547241695,54441.548
12.91135043,0.582204612,45588.49
13.05867451,0.600871155,51076.274
13.04201902,0.641225436,54207.393
12.94871847,0.536659026,48231.195
14.32732808,0.489750019,67295.357
13.25130107,0.575186616,53042.935
13.3126008,0.531590576,49538.415
13.48359225,0.607006783,56733.531
12.87808487,0.633205328,52445.68
13.30875727,0.49786839,53097.112
13.65203501,0.512804981,58906.997
12.97426491,0.570736608,49646.194
12.9559303,0.545009839,47104.396
14.30755255,0.48174902,68921.935
12.66089412,0.532833802,38107.886
13.54611273,0.575901836,58173.683
12.98998152,0.542384625,48482.759
12.93559933,0.551342694,46964.177
13.23859283,0.649115129,52195.02
13.23001965,0.575413651,51120.117
13.31745546,0.753725661,55561.279
13.93076703,0.585365832,68276.314
13.63809188,0.540441664,59188.284
13.63415784,0.543134369,56305.847
12.94990077,0.764918517,57879.597
12.97994414,0.562992946,48902.294
13.17207918,0.608527526,51528.096
